"lp.","imię i nazwisko","wykształcenie","lista","nr okręgu","miasto","głosy"
63,"Sławomir Ćwik","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",7,"Chełm",8004
64,"Władysław Dajczak","wyższe","Prawo i Sprawiedliwość",8,"Zielona Góra",29131
65,"Anna Dąbrowska-Banaszek","wyższe","Prawo i Sprawiedliwość",7,"Chełm",13910
66,"Zbigniew Dolata","wyższe","Prawo i Sprawiedliwość",37,"Konin",25663
67,"Barbara Dolniak","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",32,"Katowice",37470
68,"Andrzej Domański","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",19,"Warszawa",6848
69,"Bartłomiej Dorywalski","wyższe","Prawo i Sprawiedliwość",33,"Kielce",9696
70,"Robert Dowhan","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",8,"Zielona Góra",14761
71,"Przemysław Drabek","wyższe","Prawo i Sprawiedliwość",27,"Bielsko-Biała",17886
72,"Elżbieta Duda","średnie policealne/pomaturalne","Prawo i Sprawiedliwość",13,"Kraków",11388
